,neighborhood_overview,review_scores_location
64532,Our busy high street is located only 3  _     where you can find everything from the supermarket to a variety of restaurants offering different cuisines such as Japanese  Italian  Indian  Lebanese and   more  Our top picks are  Breakfast  Maroush  Over Under  Dolci Coffee   Juice Lunch  Maroush  Kappa  Franco Manca  Nando's  Dinner  Zizzi  Masala  The Troubadour Restaurant famous for its music and food Don__ forget to check out The Prince   located 10      Concept dining where 4 buildings have been converted to beautiful garden square and restaurants   Kensington and Chelsea is a fantastic launching point for discovering the best of central London   Earl's Court is a residential   with a rich history and a wide variety of fantastic local amenities  The high street has restaurants offering cuisine from all over the world  traditional pubs  shops  a gym and a tube station with District and Piccadilly line connect,5
64540,Hampton Road is ideally located to take advantage of all that Strawberry Hill and Twickenham has to offer  from the delightful Radnor Gardens on the river to the ambient restaurants and char g riverside pubs and  s  Situated   easy access of both Richmond and Kingston with comprehensive amenities  Commuter links are excellent with two stations providing good links to London Waterloo  frequent bus routes and easy access to the M3 and M25 motorways and Heathrow Airport ,5
64571,Bayswater is one of the Best neighborhoods in London  it Benefits from being just steps   from the Royal Hyde Park  15     to the Famous Oxford Street and Marble Arch and 20     to Portobello road and Notting Hill    the Hotel is Located between 2 underground station  Bayswater   Queensway   Steps   From Queensway and Westbourne Grove which has pleantly of restaurants choices ,5
64573,Famous shopping streets such as Oxford Street  Bond Street  Dover Street  Mount Street and Regent Street  as   as Green Park  Buckhingam Palace and   more are all in    s from the apartment   Grocery stores (Tesco Express  Sainsbury's  Marks   Spencer) are also 2-3     ,5
64575, pubs  restaurants and park in the    Victoria line is operating 24h on the weekends  The   is very   connected to central- kings cross/ euston and oxford circus are all 20-25     on tube and 25   on bike ,5
64585,Home to London's most iconic concert and events venue  OVO Arena Wembley  as   as the world-famous National Stadium  Wembley Park has long held a special place in world sporting and entertainment history  from hosting the 1948 Olympics and the famous World Cup of 1966 to that unforgettable Live Aid concert in 1985  Synth Accommodation Wembley,5
64586,West Kensington was one of London  best-kept secrets  It gives residents easy access to both the luxury and prestige of Kensington and the bustling commerce of Hammersmith  West Kensington is itself a  -established   with a history spanning centuries  It has exceptional Victorian architecture  leading to the preservation of    s and even entire streets as listed buildings ,5
64587,This   is  located on a leafy  treelined  quiet side street yet somehow  magically  only ten seconds from one of the coolest  creative  vibrant and exciting places in all of London  Our patch of Portobello  between the Westway flyover and Oxford Gardens feels like a micro village but is filled with vibrant street style and street life  You will feel  at times  like you have stepped into a music video  from the Black and Rasta roots of old Notting Hill to people fully turned out  head to toe in post-War costume  fully committed to the vintage lifestyle  The market is on your doorstep  Fridays is the most fashion  it's when the big designers or their agents   the market looking for inspiration  Saturday brings the tourists and Sunday is mostly locals  Soak it all up and enjoy the best people-watching in the world ,5
64588,Roland Gardens is an exceedingly special road and one of the finest in South Kensington  This thoroughly attractive property offers exceptional value and convenience and would appeal to those looking for an ideal South Kensington lifestyle/location with accessibility to the    facilities and amenities including the   world-class collections of museums   galleries  the Royal parks   shopping of Knightsbridge  Chelsea   Kensington ,5
64600,Greenford is one of   London suburbs that still retains the feel of the small town it was before the capital absorbed it  Greenford is relatively suitable for families   It has a small town centre  as   as other local amenities - including excellent access to green and open spaces and waterways - but also has outstanding transport links  Greenford is served by the Piccadilly and Central Lines  which run a Night Tube service at weekends  making it easy to get to and from Central London at all hours  Heathrow is also a short Tube ride or drive   Greenford is a safe place to live There are a number of pubs and restaurants in this    and more in  Ealing,5
64606,It  a beautiful location right by the London Excel  Also short   to the O2 Arena  There is a Tesco Express on the road and also a Nisa supermarket too ,5
64620,This   surrounding your property is full of cafes  restaurants  shops  and supermarkets  making it easy to enjoy coffee  lunch  and dinner out   the vibrant    With our years of experience   London  we recommend visiting White Mulberries Coffee Shop  Emilia's Crafted Pasta and Bravas Tapas restaurants in the     or if you want to experience a British tradition  try out one of our London pubs  our favourites being The Dickens Inn and The Old Tea Ware    __ To further discover London heritage  you can also visit several museums like the British Museum  the Natural History Museum  the Victoria   Albert Museum  the Science Museum  and Leighton   Museum  via public transport ,5
64622,West Kensington was one of London  best-kept secrets  It gives residents easy access to both the luxury and prestige of Kensington and the bustling commerce of Hammersmith  West Kensington is itself a  -established   with a history spanning centuries  It has exceptional Victorian architecture  leading to the preservation of    s and even entire streets as listed buildings ,5
